Date,Total CPI,Food and non-alcoholic beverages,"Alcoholic beverages, tobacco and narcotics",Clothing and footwear,"Housing, water, electricity, and fuel",Household goods and services,Health,Transportation,Communication,Recreation and culture,Education,Restaurants and hotels,Miscellaneous goods and services,All items (non-food non-energy),Energy,Services,Services less housing,Housing excluding imputed rentals for housing,Actual rentals for housing,Water supply and misc. services relating to dwelling,"Electricity, gas and other fuels",Maintenance and repair of the dwelling
2008-09-01,87.15180383,77.92846999999999,63.362159999999996,79.01025,84.17161999999999,86.77041,91.75149,100.6192,105.8305,94.3834,89.26324,85.75191,86.18699000000001,87.31787,102.7531,88.2662,89.92860999999999,82.33572,83.17738,79.48858,89.88234,81.23684
2008-10-01,87.07274071,77.29921,63.362159999999996,79.08474,84.17161999999999,86.77041,91.9249,100.3682,105.7191,94.57651,89.26324,86.06200000000001,86.68216,87.39828,101.7787,88.4259,90.08991999999999,82.56886,83.41511,79.41821,89.36491,82.03445
2008-11-01,86.8376597,77.44006,63.362159999999996,79.81284000000001,84.4009,87.48373000000001,92.0111,95.65671999999999,105.7191,95.64115,89.26324,86.21761,86.75305999999999,87.71777,96.67004,88.66599000000001,90.33243,82.64584,83.5736,79.48858,89.73376999999999,82.03445
2008-12-01,86.8376597,78.69743000000001,63.362159999999996,80.54093,83.94338,87.95891999999999,92.09833,92.03836,105.7191,96.7058,89.33809000000001,86.37321,88.38038,88.03726,91.23602,88.74638,90.41360999999999,82.8779,83.65284,79.97868000000001,87.44209000000001,82.17936999999999
2009-01-01,86.91672282,80.37619000000001,63.675580000000004,80.61333,83.71616999999999,88.19813,93.04954000000001,90.44019,105.7191,96.80286,89.33809000000001,86.45101,88.30837,88.03726,89.04711,88.82677,90.41360999999999,83.10995,83.73209,80.74903,85.81638000000001,82.25124
2009-02-01,87.5439569,80.65446,63.73765,80.83154,83.86799,88.43519,93.13573000000001,93.04845999999999,105.7191,96.22251,89.56466999999999,86.68441,90.92826,88.43821,92.21044,88.90607,90.57493000000001,83.34201,83.73209,81.51937,85.9641,82.4692
2009-03-01,88.17119098,81.98226,63.80075,80.97633,84.09623,88.51456,93.22296,93.72253,105.7191,96.5137,90.77443000000001,87.22791,92.0604,88.83705,93.66941,89.38625,91.13898,83.26393,83.73209,81.17,86.99894,82.54224
2009-04-01,88.40521781,83.31119,63.80075,80.68571,84.09623,88.75376999999999,93.30915,94.47961,105.7191,96.80286,90.92616,87.61691,90.43198000000001,88.75665,94.56204,89.54488,91.30029,83.18694,83.81133,80.88853,87.07323000000001,82.4692
2009-05-01,88.40521781,82.75121999999999,63.86385,82.79762,83.86799,88.99083,93.39638000000001,93.88954,105.7191,96.60975,90.92616,87.77251,90.50288,89.0772,93.26399,89.54488,91.38255,83.26393,83.96982,80.53916,86.33295,82.32429
2009-06-01,88.32720887,80.44434,63.86385,83.3075,83.94338,89.70523,93.48257,95.65671999999999,105.7191,96.22251,90.92616,87.92811999999999,90.92826,89.23695,95.21106999999999,89.62527,91.46375,83.18694,83.96982,80.39842,86.62923,82.39615
2009-07-01,88.641353,81.07359,63.80075,83.38094,84.55272,89.38772,93.74218,96.91985,105.7191,96.41563000000001,91.00203,88.08372,90.85736,89.31734,96.91275999999999,89.94574,91.7853,83.26393,84.04906,80.32806,88.77320999999999,82.10632
